chart_group,population_group,category,participation_rate_pct,participants_est,share_of_population_group_participants_pct,sort_order,is_derived,source_file,source_sheet,source_table,source_notes
organised_status,Adults,Organised,2.3012,520877,50.849,1,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,3,Table 3: Organised participation by activity (adults),Direct AusPlay adult basketball organised participation estimate/rate.
organised_status,Adults,Non-organised,2.2243,503483,49.151,2,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,1 and 3,Derived from Table 1 and Table 3,Derived as adult total basketball participation minus adult organised basketball participation.
organised_status_context,Children,Recorded organised/structured participation,7.0823,341727,100.0,1,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,2 and 5,Table 2 and Table 5,Child basketball organiser table total matches child basketball participation total in this file. Do not interpret as a separate non-organised comparison without further source confirmation.
organiser_type,Adults,Sports club or association,1.0023,226880,22.1484,1,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,4,Table 4: Type of organising entity by activity (adults),Direct AusPlay adult basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Adults,Recreation club or association,0.429,97103,9.4794,2,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,4,Table 4: Type of organising entity by activity (adults),Direct AusPlay adult basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Adults,Gym / fitness / sports or leisure centre,0.2983,67518,6.5913,3,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,4,Table 4: Type of organising entity by activity (adults),Direct AusPlay adult basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Adults,Private or commercial business,0.1295,29318,2.8621,4,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,4,Table 4: Type of organising entity by activity (adults),Direct AusPlay adult basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Adults,Individual trainer or coach,0.1646,37257,3.6371,5,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,4,Table 4: Type of organising entity by activity (adults),Direct AusPlay adult basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Adults,Educational institution,0.4836,109463,10.686,6,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,4,Table 4: Type of organising entity by activity (adults),Direct AusPlay adult basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Children,Sports club or association,3.8773,187084,54.7465,1,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,5,Table 5: Type of organising entity by activity (children),Direct AusPlay child basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Children,Recreation club or association,0.8697,41963,12.2797,2,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,5,Table 5: Type of organising entity by activity (children),Direct AusPlay child basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Children,Gym / fitness / sports or leisure centre,0.6517,31445,9.2018,3,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,5,Table 5: Type of organising entity by activity (children),Direct AusPlay child basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Children,Private or commercial business,0.3391,16359,4.7873,4,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,5,Table 5: Type of organising entity by activity (children),Direct AusPlay child basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Children,Individual trainer or coach,0.5036,24300,7.1111,5,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,5,Table 5: Type of organising entity by activity (children),Direct AusPlay child basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
organiser_type,Children,Educational institution,1.4775,71290,20.8616,6,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,5,Table 5: Type of organising entity by activity (children),Direct AusPlay child basketball organiser type. Note: categories are not necessarily mutually exclusive; shares may not sum to 100%.
