activity,adult_participation_rate_pct,adult_participants_est,child_participation_rate_pct,child_participants_est,total_participants_est_2025,derived_total_participation_rate_pct,adult_participants_2024_est,child_participants_2024_est,total_participants_2024_est,total_participants_change_est,total_participants_change_pct,adult_rank_2025,child_rank_2025,total_rank_2025,is_team_sport,is_selected_comparison,source_file,source_notes
Walking (Recreational),50.204,11363621,2.736,132010,11495631,41.863,11081695,191091,11272786,222846,1.98,1,13,1,no,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Fitness/Gym,34.102,7719043,1.573,75921,7794964,28.386,6732389,82117,6814506,980458,14.39,2,17,2,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Swimming,15.39,3483472,23.303,1124376,4607849,16.78,3371821,1121569,4493390,114459,2.55,5,1,3,no,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Bush walking,17.468,3953952,1.115,53776,4007728,14.595,3741509,76194,3817703,190025,4.98,3,19,4,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Running/jogging,16.525,3740484,3.118,150454,3890938,14.169,3548775,158592,3707366,183572,4.95,4,11,5,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Football/soccer,5.624,1273027,14.306,690297,1963325,7.15,1206734,670451,1877185,86140,4.59,8,2,6,yes,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Cycling,8.294,1877339,1.653,79755,1957094,7.127,1906442,119031,2025473,-68379,-3.38,6,16,7,no,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Pilates,7.181,1625325,0.076,3652,1628977,5.932,1284797,2520,1287317,341660,26.54,7,73,8,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Basketball,4.526,1024360,7.082,341727,1366087,4.975,1050854,315731,1366585,-498,-0.04,12,3,9,yes,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Tennis,4.941,1118407,3.886,187490,1305897,4.756,1127741,183652,1311394,-5497,-0.42,10,8,10,no,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
