facility_id,facility_name,lga_name,suburb,postcode,full_address,latitude,longitude,sport,court_count,surface_type,indoor_outdoor,age_of_facility,condition_of_facility,condition_score,source_file,source_sheet,source_notes
ALPINE10919,Bright Community Sports Stadium,Alpine Shire Council,Bright,3741,"Deacon Avenue, BRIGHT 3741",-36.733294,146.963623,Basketball,2,Wooden Gymnasium,Indoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
ALPINE10930,Mount Beauty Pool & Stadium,Alpine Shire Council,Mount Beauty,3699,"Pool Road, MOUNT BEAUTY 3699",-36.740988,147.168502,Basketball,1,Wooden Gymnasium,Indoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
ALPINE10941,Myrtleford Indoor Sports Complex,Alpine Shire Council,Myrtleford,3737,"O'donnel Avenue, MYRTLEFORD 3737",-36.552593,146.725872,Basketball,1,Wooden Gymnasium,Indoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
ARARAT12871,Ararat Rural City Recreation and Aquatics Centre,Ararat Rural City Council,Ararat,3377,"61-73 High Street, ARARAT 3377",-37.28209,142.932911,Basketball,2,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BALLAR12496,East Ballarat Recreation Centre,Ballarat City Council,Ballarat East,3350,"Fussell Street, BALLARAT EAST 3350",-37.560242,143.892582,Basketball,,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BALLAR12498,Eastwood Leisure Complex,Ballarat City Council,Ballarat,3350,"20 Eastwood Street, BALLARAT 3350",-37.56538,143.862489,Basketball,,Wooden Gymnasium,Indoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BALLAR12543,MARS Minerdome,Ballarat City Council,Wendouree,3355,"Grevillea Road, WENDOUREE 3355",-37.52842,143.840921,Basketball,4,Wooden Gymnasium,Indoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BALLAR12537,Wendouree Sports & Events Centre,Ballarat City Council,Wendouree,3355,"Norman Street, WENDOUREE 3355",-37.535116,143.843576,Basketball,2,Wooden Gymnasium,Indoor,,5. Very Good,5.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BANYUL12837,Macleod Recreation & Fitness Centre,Banyule City Council,Macleod,3085,"157 Wungan Street, MACLEOD 3085",-37.723317,145.068971,Basketball,,Wooden Gymnasium,Indoor,26 - 50 Years,4. Good,4.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BANYUL12841,Olympic Leisure Centre,Banyule City Council,West Heidelberg,3081,"15 Alamein Road, WEST HEIDELBERG 3081",-37.740147,145.040629,Basketball,1,Wooden Gymnasium,Indoor,26 - 50 Years,4. Good,4.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BASSCO11918,Bass Coast Aquatic & Leisure Centre,Bass Coast Shire Council,Wonthaggi,3995,"Wentworth Road, WONTHAGGI 3995",-38.599783,145.599475,Basketball,1,Wooden Flooring,Indoor,26 - 50 Years,3. Average,3.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BASSCO11892,Cape Paterson Sports Facility,Bass Coast Shire Council,Cape Paterson,3995,"567 Cape Paterson Rd Cape Paterson Road, CAPE PATERSON 3995",-38.669361,145.621415,Basketball,1,Asphalt,Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BASSCO11893,Corinella Tennis and Bowls Club,Bass Coast Shire Council,Corinella,3984,"Anderson Parade, CORINELLA 3984",-38.413097,145.433028,Basketball,,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
